ID,Data,Time
flow,0.0,81742.496
Pump_percentage,61.1,81742.498
flow,0.0,81743.5
Pump_percentage,61.3,81743.502
flow,0.0198,81744.505
Pump_percentage,61.2,81744.506
flow,0.0426,81745.509
Pump_percentage,61.1,81745.51
flow,0.0588,81746.508
Pump_percentage,61.0,81746.51
flow,0.0678,81747.512
Pump_percentage,60.8,81747.514
flow,0.0708,81748.516
Pump_percentage,60.7,81748.518
flow,0.0738,81749.521
Pump_percentage,60.5,81749.522
flow,0.066,81750.52
Pump_percentage,60.5,81750.522
flow,0.054,81751.537
Pump_percentage,60.4,81751.538
flow,0.03,81752.557
Pump_percentage,60.5,81752.558
flow,0.0096,81753.573
Pump_percentage,60.7,81753.575
flow,0.003,81754.579
Pump_percentage,60.8,81754.58
flow,0.0,81755.576
Pump_percentage,60.9,81755.578
flow,0.0,81756.576
Pump_percentage,61.0,81756.578
flow,0.0,81757.581
Pump_percentage,61.1,81757.582
flow,0.0,81758.588
Pump_percentage,61.3,81758.59
flow,0.0,81759.597
Pump_percentage,61.4,81759.598
flow,0.0318,81760.604
Pump_percentage,61.3,81760.606
flow,0.048,81761.605
Pump_percentage,61.2,81761.606
flow,0.0576,81762.609
Pump_percentage,61.1,81762.61
flow,0.0648,81763.616
Pump_percentage,60.9,81763.617
flow,0.0678,81764.62
Pump_percentage,60.8,81764.622
flow,0.069,81765.621
Pump_percentage,60.7,81765.622
flow,0.0666,81766.632
Pump_percentage,60.6,81766.634
flow,0.0576,81767.641
Pump_percentage,60.5,81767.643
flow,0.0468,81768.64
Pump_percentage,60.5,81768.642
flow,0.03,81769.653
Pump_percentage,60.6,81769.654
flow,0.0096,81770.656
Pump_percentage,60.7,81770.657
flow,0.003,81771.66
Pump_percentage,60.8,81771.662
flow,0.0,81772.668
Pump_percentage,61.0,81772.67
flow,0.0,81773.668
Pump_percentage,61.1,81773.67
flow,0.0,81774.676
Pump_percentage,61.2,81774.678
flow,0.0,81775.676
Pump_percentage,61.3,81775.678
flow,0.0018,81776.681
Pump_percentage,61.4,81776.682
flow,0.0336,81777.693
Pump_percentage,61.3,81777.694
flow,0.0528,81778.696
Pump_percentage,61.2,81778.698
flow,0.066,81779.708
Pump_percentage,61.0,81779.709
flow,0.0726,81780.717
Pump_percentage,60.9,81780.718
flow,0.0768,81781.721
Pump_percentage,60.7,81781.723
flow,0.0756,81782.728
Pump_percentage,60.5,81782.731
flow,0.0678,81783.732
Pump_percentage,60.4,81783.734
flow,0.054,81784.737
Pump_percentage,60.4,81784.738
flow,0.0396,81785.748
Pump_percentage,60.4,81785.75
flow,0.0138,81786.753
Pump_percentage,60.6,81786.755
flow,0.0036,81787.757
Pump_percentage,60.7,81787.758
flow,0.0006,81788.768
Pump_percentage,60.9,81788.77
flow,0.0,81789.776
Pump_percentage,61.0,81789.778
flow,0.0,81790.793
Pump_percentage,61.1,81790.794
flow,0.0,81791.792
Pump_percentage,61.2,81791.794
flow,0.0,81792.794
Pump_percentage,61.3,81792.795
flow,0.0216,81793.804
Pump_percentage,61.3,81793.806
flow,0.0456,81794.813
Pump_percentage,61.2,81794.815
flow,0.0588,81795.822
Pump_percentage,61.0,81795.823
flow,0.0648,81796.82
Pump_percentage,60.9,81796.822
flow,0.0696,81797.82
Pump_percentage,60.8,81797.822
flow,0.0738,81798.84
Pump_percentage,60.6,81798.842
flow,0.0696,81799.84
Pump_percentage,60.5,81799.842
